Starting heating control with interval 5s
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
2025-03-14 20:59:26,134 - Starting heating control with interval 5s
2025-03-14 20:59:26,139 - Price: 76, Decision: ES7, Solar: 0, Tank Temp: 0
2025-03-14 20:59:26,140 - Connected to MQTT broker with code 0
2025-03-14 20:59:31,144 - Price: 76, Decision: ES7, Solar: 0.0, Tank Temp: 68.3
2025-03-14 20:59:36,150 - Price: 76, Decision: ES7, Solar: 0.0, Tank Temp: 67.3
2025-03-14 20:59:41,156 - Price: 76, Decision: ES7, Solar: 0.0, Tank Temp: 68.3
2025-03-14 20:59:46,162 - Price: 76, Decision: ES7, Solar: 0.0, Tank Temp: 68.3
2025-03-14 20:59:51,168 - Price: 76, Decision: ES7, Solar: 0.0, Tank Temp: 68.3
2025-03-14 20:59:56,174 - Price: 76, Decision: ES7, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:00:01,176 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:00:06,182 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:00:11,185 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:00:16,191 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:00:21,194 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:00:26,200 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:00:31,205 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:00:36,212 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:00:41,220 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:00:46,228 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:00:51,236 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:00:56,244 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:01:01,252 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:01:06,259 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:01:11,266 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:01:16,274 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:01:21,282 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:01:26,289 - Price: 58, Decision: ES2, Solar: -13.0, Tank Temp: 68.3
2025-03-14 21:01:31,296 - Price: 58, Decision: ES2, Solar: -13.0, Tank Temp: 67.3
